country	total cases	new cases	total deaths	new deaths
China	80894	13	3237	11
Italy	31506	3526	2503	345
Iran	16169	1178	988	135
Spain	11826	1884	533	191
Germany	9367	2095	26	9
S. Korea	8320	84	81	6
France	7730	1097	175	27
USA	6411	1748	109	23
Switzerland	2742	389	27	8
UK	1950	407	71	16
Netherlands	1705	292	43	19
Norway	1471	123	3	
Austria	1332	314	4	1
Belgium	1243	185	10	
Sweden	1196	75	8	1
Denmark	977	63	4	
Japan	878	45	29	1
Diamond Princess	712		7	
Malaysia	673	107	2	2
Canada	598	157	8	4
Australia	455	54	5	
Portugal	448	117	1	
Qatar	442	3		
Czechia	434	90		
Greece	387	35	5	1
Brazil	346	112	1	1
Israel	337	39		
Finland	322	44		
Ireland	292	69	2	
Slovenia	275	22	1	
Singapore	266	23		
Iceland	247	48		
Pakistan	247	63		
Bahrain	241	13	1	
Poland	238	61	5	1
Estonia	225	20		
Romania	217	49		
Chile	201	45		
Egypt	196	30	6	2
Philippines	187	45	14	2
Thailand	177	30	1	
Indonesia	172	38	7	2
Saudi Arabia	171	38		
Hong Kong	168	13	4	
Iraq	154	21	11	1
India	143	14	3	1
Luxembourg	140	59	1	
Kuwait	130	7		
Lebanon	124	15	4	1
San Marino	119	10	11	2
Peru	117	31		
Russia	114	21		
UAE	113	15		
Ecuador	111	53	2	
Turkey	98	51	1	1
Slovakia	97	25		
South Africa	85	21		
Mexico	82	29		
Bulgaria	81	19	2	
Argentina	79	14	2	
Armenia	78	26		
Taiwan	77	10	1	
Serbia	72	15		
Panama	69		1	
Croatia	69	12		
Vietnam	66	5		
Colombia	65	11		
Algeria	61	1	5	1
Latvia	60	26		
Brunei	56	2		
Albania	55	4	1	
Hungary	50	11	1	
Costa Rica	50	9		
Uruguay	50	21		
Cyprus	49	3		
Jordan	48	19		
Faeroe Islands	47	29		
Morocco	44	7	2	1
Sri Lanka	44	16		
Palestine	44	5		
Andorra	39	25		
Malta	38	8		
Belarus	36			
Azerbaijan	34	9	1	
Georgia	34	1		
Bosnia and Herzegovina	34	9		
Cambodia	33	21		
Oman	33	9		
Kazakhstan	33	23		
Venezuela	33	16		
North Macedonia	31	7		
Moldova	30	1		
Senegal	27			
Tunisia	27	3		
Lithuania	26	8		
Afghanistan	22	1		
Dominican Republic	21		1	
New Zealand	20	12		
Liechtenstein	19	12		
Guadeloupe	18	12		
Martinique	15		1	
Burkina Faso	15			
Ukraine	14	7	2	1
Macao	13	1		
Jamaica	13	1		
Maldives	13			
Bolivia	12	1		
French Guiana	11			
Uzbekistan	11	3		
Bangladesh	10	2		
Cameroon	10	5		
Monaco	9			
Paraguay	9	1		
Réunion	9			
Guatemala	8		1	
Honduras	8	2		
Guyana	7		1	
Cuba	7	3		
Ghana	7	1		
Rwanda	7			
Channel Islands	6			
Ethiopia	6	1		
Guam	5	2		
Mongolia	5	1		
Puerto Rico	5			
Trinidad and Tobago	5	1		
Ivory Coast	4			
Kenya	4	1		
Seychelles	4	1		
Nigeria	3	1		
Aruba	3	1		
Curaçao	3	1		
DRC	3			
French Polynesia	3			
Gabon	3	2		
Gibraltar	3			
Mayotte	3	1		
St. Barth	3			
Barbados	2	2		
Liberia	2	1		
Montenegro	2	2		
Namibia	2			
Saint Lucia	2			
Saint Martin	2			
U.S. Virgin Islands	2	1		
Cayman Islands	1		1	
Sudan	1		1	
Nepal	1			
Antigua and Barbuda	1			
Bahamas	1			
Benin	1			
Bhutan	1			
CAR	1			
Congo	1			
Equatorial Guinea	1			
Gambia	1	1		
Greenland	1			
Guinea	1			
Vatican City	1			
Mauritania	1			
St. Vincent Grenadines	1			
Somalia	1			
Suriname	1			
Eswatini	1			
Tanzania	1			
Togo	1			
